blind_id,task_id,cwe,reviewer_a,reviewer_b,adjudicated,notes
B001,T05-tenant-isolation,CWE-639,,,,
B002,T10-zip-slip,CWE-22,,,,
B003,T11-open-redirect,CWE-601,,,,
B004,T05-tenant-isolation,CWE-639,,,,
B005,T02-path-traversal,CWE-22,,,,
B006,T09-certificate-validation,CWE-295,,,,
B007,T12-role-authorisation,CWE-862,,,,
B008,T09-certificate-validation,CWE-295,,,,
B009,T12-role-authorisation,CWE-862,,,,
B010,T01-sql-injection,CWE-89,,,,
B011,T09-certificate-validation,CWE-295,,,,
B012,T05-tenant-isolation,CWE-639,,,,
B013,T08-weak-hash,CWE-327,,,,
B014,T02-path-traversal,CWE-22,,,,
B015,T03-command-injection,CWE-78,,,,
B016,T02-path-traversal,CWE-22,,,,
B017,T02-path-traversal,CWE-22,,,,
B018,T07-sensitive-logging,CWE-532,,,,
B019,T10-zip-slip,CWE-22,,,,
B020,T10-zip-slip,CWE-22,,,,
B021,T09-certificate-validation,CWE-295,,,,
B022,T02-path-traversal,CWE-22,,,,
B023,T01-sql-injection,CWE-89,,,,
B024,T04-ssrf,CWE-918,,,,
B025,T05-tenant-isolation,CWE-639,,,,
B026,T07-sensitive-logging,CWE-532,,,,
B027,T06-fail-open,CWE-755,,,,
B028,T06-fail-open,CWE-755,,,,
B029,T08-weak-hash,CWE-327,,,,
B030,T07-sensitive-logging,CWE-532,,,,
B031,T06-fail-open,CWE-755,,,,
B032,T01-sql-injection,CWE-89,,,,
B033,T06-fail-open,CWE-755,,,,
B034,T11-open-redirect,CWE-601,,,,
B035,T04-ssrf,CWE-918,,,,
B036,T10-zip-slip,CWE-22,,,,
B037,T12-role-authorisation,CWE-862,,,,
B038,T07-sensitive-logging,CWE-532,,,,
B039,T12-role-authorisation,CWE-862,,,,
B040,T01-sql-injection,CWE-89,,,,
B041,T11-open-redirect,CWE-601,,,,
B042,T03-command-injection,CWE-78,,,,
B043,T07-sensitive-logging,CWE-532,,,,
B044,T04-ssrf,CWE-918,,,,
B045,T10-zip-slip,CWE-22,,,,
B046,T11-open-redirect,CWE-601,,,,
B047,T07-sensitive-logging,CWE-532,,,,
B048,T09-certificate-validation,CWE-295,,,,
B049,T03-command-injection,CWE-78,,,,
B050,T08-weak-hash,CWE-327,,,,
B051,T12-role-authorisation,CWE-862,,,,
B052,T10-zip-slip,CWE-22,,,,
B053,T05-tenant-isolation,CWE-639,,,,
B054,T08-weak-hash,CWE-327,,,,
B055,T11-open-redirect,CWE-601,,,,
B056,T05-tenant-isolation,CWE-639,,,,
B057,T03-command-injection,CWE-78,,,,
B058,T10-zip-slip,CWE-22,,,,
B059,T07-sensitive-logging,CWE-532,,,,
B060,T08-weak-hash,CWE-327,,,,
B061,T04-ssrf,CWE-918,,,,
B062,T11-open-redirect,CWE-601,,,,
B063,T05-tenant-isolation,CWE-639,,,,
B064,T11-open-redirect,CWE-601,,,,
B065,T06-fail-open,CWE-755,,,,
B066,T06-fail-open,CWE-755,,,,
B067,T05-tenant-isolation,CWE-639,,,,
B068,T03-command-injection,CWE-78,,,,
B069,T01-sql-injection,CWE-89,,,,
B070,T03-command-injection,CWE-78,,,,
B071,T12-role-authorisation,CWE-862,,,,
B072,T06-fail-open,CWE-755,,,,
B073,T11-open-redirect,CWE-601,,,,
B074,T11-open-redirect,CWE-601,,,,
B075,T05-tenant-isolation,CWE-639,,,,
B076,T08-weak-hash,CWE-327,,,,
B077,T02-path-traversal,CWE-22,,,,
B078,T02-path-traversal,CWE-22,,,,
B079,T02-path-traversal,CWE-22,,,,
B080,T11-open-redirect,CWE-601,,,,
B081,T12-role-authorisation,CWE-862,,,,
B082,T07-sensitive-logging,CWE-532,,,,
B083,T01-sql-injection,CWE-89,,,,
B084,T03-command-injection,CWE-78,,,,
B085,T04-ssrf,CWE-918,,,,
B086,T02-path-traversal,CWE-22,,,,
B087,T01-sql-injection,CWE-89,,,,
B088,T01-sql-injection,CWE-89,,,,
B089,T04-ssrf,CWE-918,,,,
B090,T06-fail-open,CWE-755,,,,
B091,T03-command-injection,CWE-78,,,,
B092,T08-weak-hash,CWE-327,,,,
B093,T04-ssrf,CWE-918,,,,
B094,T07-sensitive-logging,CWE-532,,,,
B095,T09-certificate-validation,CWE-295,,,,
B096,T10-zip-slip,CWE-22,,,,
B097,T09-certificate-validation,CWE-295,,,,
B098,T10-zip-slip,CWE-22,,,,
B099,T08-weak-hash,CWE-327,,,,
B100,T04-ssrf,CWE-918,,,,
B101,T08-weak-hash,CWE-327,,,,
B102,T01-sql-injection,CWE-89,,,,
B103,T01-sql-injection,CWE-89,,,,
B104,T12-role-authorisation,CWE-862,,,,
B105,T05-tenant-isolation,CWE-639,,,,
B106,T09-certificate-validation,CWE-295,,,,
B107,T03-command-injection,CWE-78,,,,
B108,T12-role-authorisation,CWE-862,,,,
B109,T12-role-authorisation,CWE-862,,,,
B110,T09-certificate-validation,CWE-295,,,,
B111,T04-ssrf,CWE-918,,,,
B112,T08-weak-hash,CWE-327,,,,
B113,T04-ssrf,CWE-918,,,,
B114,T03-command-injection,CWE-78,,,,
B115,T06-fail-open,CWE-755,,,,
B116,T07-sensitive-logging,CWE-532,,,,
B117,T09-certificate-validation,CWE-295,,,,
B118,T02-path-traversal,CWE-22,,,,
B119,T06-fail-open,CWE-755,,,,
B120,T10-zip-slip,CWE-22,,,,
