blind_id,candidate_id,patch_path
B001,"T05-tenant-isolation__model-b__r03","candidates/T05-tenant-isolation__model-b__r03/candidate.diff"
B002,"T10-zip-slip__model-b__r04","candidates/T10-zip-slip__model-b__r04/candidate.diff"
B003,"T11-open-redirect__model-b__r03","candidates/T11-open-redirect__model-b__r03/candidate.diff"
B004,"T05-tenant-isolation__model-b__r05","candidates/T05-tenant-isolation__model-b__r05/candidate.diff"
B005,"T02-path-traversal__model-a__r04","candidates/T02-path-traversal__model-a__r04/candidate.diff"
B006,"T09-certificate-validation__model-a__r03","candidates/T09-certificate-validation__model-a__r03/candidate.diff"
B007,"T12-role-authorisation__model-a__r04","candidates/T12-role-authorisation__model-a__r04/candidate.diff"
B008,"T09-certificate-validation__model-b__r02","candidates/T09-certificate-validation__model-b__r02/candidate.diff"
B009,"T12-role-authorisation__model-a__r01","candidates/T12-role-authorisation__model-a__r01/candidate.diff"
B010,"T01-sql-injection__model-b__r03","candidates/T01-sql-injection__model-b__r03/candidate.diff"
B011,"T09-certificate-validation__model-b__r05","candidates/T09-certificate-validation__model-b__r05/candidate.diff"
B012,"T05-tenant-isolation__model-a__r05","candidates/T05-tenant-isolation__model-a__r05/candidate.diff"
B013,"T08-weak-hash__model-b__r05","candidates/T08-weak-hash__model-b__r05/candidate.diff"
B014,"T02-path-traversal__model-a__r02","candidates/T02-path-traversal__model-a__r02/candidate.diff"
B015,"T03-command-injection__model-a__r03","candidates/T03-command-injection__model-a__r03/candidate.diff"
B016,"T02-path-traversal__model-b__r03","candidates/T02-path-traversal__model-b__r03/candidate.diff"
B017,"T02-path-traversal__model-b__r01","candidates/T02-path-traversal__model-b__r01/candidate.diff"
B018,"T07-sensitive-logging__model-a__r04","candidates/T07-sensitive-logging__model-a__r04/candidate.diff"
B019,"T10-zip-slip__model-b__r01","candidates/T10-zip-slip__model-b__r01/candidate.diff"
B020,"T10-zip-slip__model-a__r01","candidates/T10-zip-slip__model-a__r01/candidate.diff"
B021,"T09-certificate-validation__model-a__r01","candidates/T09-certificate-validation__model-a__r01/candidate.diff"
B022,"T02-path-traversal__model-a__r03","candidates/T02-path-traversal__model-a__r03/candidate.diff"
B023,"T01-sql-injection__model-a__r03","candidates/T01-sql-injection__model-a__r03/candidate.diff"
B024,"T04-ssrf__model-a__r01","candidates/T04-ssrf__model-a__r01/candidate.diff"
B025,"T05-tenant-isolation__model-b__r02","candidates/T05-tenant-isolation__model-b__r02/candidate.diff"
B026,"T07-sensitive-logging__model-a__r03","candidates/T07-sensitive-logging__model-a__r03/candidate.diff"
B027,"T06-fail-open__model-a__r04","candidates/T06-fail-open__model-a__r04/candidate.diff"
